INDEX,NAME,Criminels_28_11_2010,Impots_28_11_2010,Armes_13_02_2011,Secondaire_11_03_2012,Fiscal_11_03_2012,Vacances_11_03_2012,Argent_11_03_2012,Livre_11_03_2012,Epargne_17_06_2012,Etrangere_17_06_2012,Assurance_17_06_2012,Musicale_23_09_2012,Logement_23_09_2012,Tabac_23_09_2012,Epizootie_21_11_2012,Familiale_03_03_2013,Remunerer_03_03_2013,Territoire_03_03_2013,Conseil_09_06_2013,Asile_09_06_2013,Service_22_09_2013,Maladies_22_09_2013,Travail_22_09_2013,Salaires_24_11_2013,Familles_24_11_2013,Routes_24_11_2013,Ferroviaire_09_02_2014,Avorte_09_02_2014,Immigre_09_02_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Zürich,52.3196553468789,41.1,50.3749353154255,52.4875649,38.2706685,33.5703579,87.8452105,37.5169873,28.7281164,26.1138682,28.0618525,74.3037991803833,47.9430456247415,32.9159633454054,67.1759893706566,53.568016718,70.202856806,71.264002403,25.2685382466909,79.6777236855734,28.6044964377789,60.487498175002,62.6294266075002,32.8499725789736,39.0458746323645,44.3055024395984,63.1349215927651,29.9348661447454,47.3437574240961,86.82,57.25,25.30,48.74,23.93,32.47,49.08,24.35,20.57,20.42,10.86,64.77,26.63,32.95,47.93,43.46,35.01,40.37,55.57,31.08,25.09,28.71,63.10,70.07,37.67,38.34,63.98,47.13,63.18,60.27
1,Bern,49.6813933102925,48.5563386339265,40.7392254231079,54.9382098,35.8203963,31.4354982,87.1550119,41.1259481,23.48738,22.6022893,28.6180353,71.4976449067855,41.2687691588299,30.2906172915745,67.4974273749319,49.420828076,70.354481971,66.832454321,20.7594946348745,80.4641353464629,24.6569138802306,54.9052430391844,53.4116565325138,37.9922328031069,43.2399279436534,39.5969138215793,57.5914462867422,32.0748579829221,51.0676919777577,89.47,57.15,23.83,49.11,26.80,38.64,43.93,25.10,21.62,20.63,8.54,57.06,26.69,35.64,49.34,46.19,40.14,41.42,57.68,33.18,23.77,29.48,56.41,68.56,37.36,39.83,65.91,44.08,61.91,59.11
8,Luzern,47.8792810334055,33.8898920162861,40.0768635905608,47.2551618,40.617338,26.7263287,85.4760539,37.032673,26.6860995,22.957255,27.8455046,70.5197172062229,49.0003679627131,30.8403093838993,61.8653649926919,48.812254804,66.278944176,68.074123651,21.3511076656021,83.2548640958379,22.5401490165388,59.5202007855408,55.3421280943153,29.6881529275945,45.0599068510684,45.1833754722877,61.2652638097931,38.0887035532048,53.348748153203,88.57,57.47,18.24,54.29,27.65,25.98,42.89,29.60,24.74,26.15,8.42,54.74,22.07,26.88,49.78,50.83,43.74,35.90,61.41,29.31,18.01,26.93,57.30,67.60,30.97,30.84,69.09,38.98,56.54,63.35
10,Uri,41.1769540560533,29.1832912629265,29.3881912904088,38.6345699,38.7698119,26.0437376,78.32885,27.1759914,22.7092199,23.2469727,22.6155359,57.0182053215555,48.0390055722246,22.1526255350245,42.2569544020648,31.827093642,64.272370633,55.933491686,24.1392262426443,82.6236176433202,14.9594320486815,49.478170116542,43.4627126035761,31.9357645755874,50.746976523595,38.8573680063042,51.494125995427,45.2934748673119,58.168032473003,86.27,63.17,17.58,62.35,35.44,33.29,38.36,30.01,25.92,24.37,6.00,46.11,20.83,26.03,44.15,50.94,51.57,35.83,53.00,30.91,15.49,28.68,50.74,61.31,25.75,30.28,63.00,40.50,46.54,57.07
12,Schwyz,36.8287534256722,22.480886988659,29.1434171316574,42.8136407,43.5347123,21.9552363,78.2846563,28.9700914,31.354845,34.0499541,26.4787095,55.8598795840175,52.0167718547313,25.0166391137257,50.3031964096064,36.861704316,60.778234086,56.637993574,30.4327945311964,86.4200096999931,16.2236720228746,45.4936842532797,55.9030317808664,23.2920460159503,51.198172189653,35.7943216107004,49.5101695758118,44.2563721851027,63.071327938141,80.98,65.12,13.62,61.53,30.19,20.93,35.97,34.22,29.26,24.75,6.17,48.96,17.53,17.16,40.32,54.51,53.92,33.42,68.17,31.87,13.88,36.96,53.73,58.22,21.53,28.16,63.85,31.91,45.76,64.89
18,Obwalden,42.7381039397705,20.8339303625161,28.1353883348444,41.4482552,41.4370695,20.8772701,82.7225543,40.079211,28.9051095,28.4669425,23.8288811,62.1301775147929,45.4908929364727,27.9424585876199,50.790238968264,38.015351745,56.112778392,56.293343962,25.3104019129955,85.6489262371615,16.21771950735,51.4329913694838,56.1030961257903,27.5351336456324,45.282497582539,38.077608665844,52.2740973943332,41.5651826711919,59.1181309641329,82.84,59.45,13.94,63.78,34.92,23.04,33.44,32.64,27.77,21.39,5.94,44.20,15.31,17.76,40.96,54.65,52.54,31.46,65.49,26.88,13.77,33.00,49.72,57.14,22.94,24.88,68.72,35.13,46.43,61.51
19,Nidwalden,41.7433049916132,20.094227166941,31.2260291485554,41.9521745,41.6636839,21.6106365,84.2552579,39.7784491,29.1332064,28.526954,24.6655175,56.8459040057741,48.5302593659942,27.553678282295,53.2044628956928,41.036510324,57.738501433,59.121783877,26.2715134676237,86.670319348779,15.7531061059066,56.0583446404342,62.5220219541943,25.1559370529328,43.6197021764032,38.8781100205433,51.6496399263105,39.7479318194437,58.8335625859697,83.22,59.25,12.82,68.16,30.44,21.09,30.86,29.18,24.64,23.96,6.01,50.14,16.06,17.95,43.22,54.56,50.65,30.85,63.13,29.27,13.16,31.91,55.19,61.01,22.84,26.98,70.13,34.96,50.36,66.33
16,Glarus,41.9086021505376,40.689291366274,30.184842883549,48.4174921,37.7933407,26.1347348,85.6366556,38.814414,26.2484395,27.5362319,23.6145704,65.3495786836712,55.3597817437763,34.9358616843279,57.0715889249189,42.590393956,69.645542427,66.594664651,26.5922249793218,82.7686753679533,17.9060862555421,51.3179403351042,53.4081632653061,33.5294605121405,42.3271640800066,48.1738555610643,50.8671856933631,35.8397912990102,59.3897069986337,88.69,63.47,17.72,59.92,28.58,33.06,41.49,30.78,24.56,16.92,6.39,52.47,20.86,30.00,45.37,51.75,48.74,37.54,59.95,35.68,18.16,32.83,57.56,63.43,31.20,36.94,62.81,38.53,49.60,65.99
23,Zug,49.1548121383632,20.5011108368304,42.8097922538887,44.8542585,43.1429071,25.8113462,84.8597032,32.1658474,30.227199,27.0906456,26.0989011,70.984185830968,47.2263132056946,30.4159469943653,57.5093735518389,47.49550613,58.219948575,71.40549273,22.7361722956437,85.428633526873,21.4159484516462,57.3938223938224,63.8450304483205,22.9598078753002,43.8515345530771,45.3793763240017,63.9413902771467,33.6593188183214,49.9439009065614,86.52,58.54,15.84,57.95,24.20,22.11,32.62,24.39,20.33,22.17,7.57,57.79,18.37,19.40,43.47,51.65,42.63,32.14,63.29,30.84,16.42,28.51,61.67,63.59,28.40,28.57,69.26,37.91,55.79,66.64
7,Freiburg,54.8537334474599,45.7925752731784,41.1426479964108,50.8020543,46.0427471,37.0622655,87.8562475,57.4835468,27.856649,18.5841837,20.3137653,72.7628961577003,43.4587556455146,33.9011548161586,69.2409940281256,62.730689948,70.253111082,62.870547054,19.7309162203248,75.2394967682364,29.529073924838,65.9784340867057,49.0589366671246,38.117195583818,40.5715833400209,30.5708325431443,58.562066306862,23.6914784198697,48.4789919946947,90.84,68.82,24.92,40.60,31.09,49.71,36.04,25.48,21.06,32.63,5.64,67.05,29.94,28.28,54.96,53.60,40.93,40.14,55.36,35.93,24.09,29.64,67.90,69.05,37.41,42.83,67.24,48.50,65.69,60.21
